Value,_name,_oid,_valueType
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.11.1.3.6.1.4.1.17409.1.11.2.0,.1.3.6.1.4.1.17409.1.1.1.1.2.11.1.3.6.1.4.1.17409.1.11.2.0,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.11.1.3.6.1.4.1.17409.1.11.3.0,.1.3.6.1.4.1.17409.1.1.1.1.2.11.1.3.6.1.4.1.17409.1.11.3.0,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.12.1.3.6.1.4.1.17409.1.3.1.13.0,.1.3.6.1.4.1.17409.1.1.1.1.2.12.1.3.6.1.4.1.17409.1.3.1.13.0,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,OctetString
,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,OctetString
,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,OctetString
